# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.583	0.0	642	98	JAHKQM010000015.1 Cobetia amphilecti strain B2M13 B2M13_contig_7, whole genome shotgun sequence	221699	219657	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.31e-05	39.7	87	JAHKQM010000007.1 Cobetia amphilecti strain B2M13 B2M13_contig_3, whole genome shotgun sequence	259539	259751	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.31e-05	39.7	87	JAHKQM010000007.1 Cobetia amphilecti strain B2M13 B2M13_contig_3, whole genome shotgun sequence	259539	259751	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.693	9.00e-17	77.0	75	JAHKQM010000003.1 Cobetia amphilecti strain B2M13 B2M13_contig_2, whole genome shotgun sequence	161820	162410	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.270	1.40e-18	83.2	83	JAHKQM010000015.1 Cobetia amphilecti strain B2M13 B2M13_contig_7, whole genome shotgun sequence	396478	395777	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	1.71e-16	75.9	86	JAHKQM010000014.1 Cobetia amphilecti strain B2M13 B2M13_contig_16, whole genome shotgun sequence	42338	41664	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.8	26.6	87	JAHKQM010000002.1 Cobetia amphilecti strain B2M13 B2M13_contig_1, whole genome shotgun sequence	142181	142786	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.79e-07	48.1	85	JAHKQM010000002.1 Cobetia amphilecti strain B2M13 B2M13_contig_1, whole genome shotgun sequence	142208	142765	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.92e-80	258	99	JAHKQM010000002.1 Cobetia amphilecti strain B2M13 B2M13_contig_1, whole genome shotgun sequence	142163	142786	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	3.94e-63	210	98	JAHKQM010000007.1 Cobetia amphilecti strain B2M13 B2M13_contig_3, whole genome shotgun sequence	259224	259913	transporter
