# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.27e-05	39.7	87	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	444331	444119	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.27e-05	39.7	87	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	444331	444119	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.693	8.75e-17	77.0	77	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	1413769	1414359	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.692	2.03e-18	82.8	87	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	2309509	2308808	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	24.783	5.44e-16	74.3	86	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	3620866	3620192	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.7	26.6	87	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	860939	861544	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.74e-07	48.1	85	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	860966	861523	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	26.667	2.97e-10	56.6	75	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	2411460	2410951	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.83e-80	258	99	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	860921	861544	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	3.57e-63	210	98	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	444646	443957	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	51.087	8.19e-78	254	99	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	444787	443960	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	22.280	3.91e-06	44.3	87	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	444718	444143	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	38.565	0.0	686	97	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	3293608	3290312	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	38.565	0.0	686	97	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	3293608	3290312	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	35.756	7.76e-110	365	92	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	155726	153675	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	35.756	7.76e-110	365	92	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	155726	153675	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	45.277	1.89e-73	244	86	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	1022750	1023646	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	31.120	1.94e-26	104	90	CP084115.1 Cobetia amphilecti strain N-80 chromosome, complete genome	2060745	2061407	transporter
