# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.676	0.0	617	98	BJOH01000002.1 Cobetia marina NBRC 15607 DNA, sequence002, whole genome shotgun sequence	57922	59958	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.60e-05	37.0	80	BJOH01000068.1 Cobetia marina NBRC 15607 DNA, sequence068, whole genome shotgun sequence	5474	5277	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.60e-05	37.0	80	BJOH01000068.1 Cobetia marina NBRC 15607 DNA, sequence068, whole genome shotgun sequence	5474	5277	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.143	4.56e-14	68.9	75	BJOH01000031.1 Cobetia marina NBRC 15607 DNA, sequence031, whole genome shotgun sequence	28320	28901	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.936	3.58e-14	70.1	79	BJOH01000002.1 Cobetia marina NBRC 15607 DNA, sequence002, whole genome shotgun sequence	13006	12350	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	26.141	1.03e-16	76.6	86	BJOH01000006.1 Cobetia marina NBRC 15607 DNA, sequence006, whole genome shotgun sequence	4780	4061	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	24.000	3.3	26.2	88	BJOH01000018.1 Cobetia marina NBRC 15607 DNA, sequence018, whole genome shotgun sequence	63224	63838	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	23.041	0.82	28.1	85	BJOH01000018.1 Cobetia marina NBRC 15607 DNA, sequence018, whole genome shotgun sequence	63245	63838	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	23.560	3.82e-08	50.4	85	BJOH01000018.1 Cobetia marina NBRC 15607 DNA, sequence018, whole genome shotgun sequence	63251	63808	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	62.201	4.60e-81	260	99	BJOH01000018.1 Cobetia marina NBRC 15607 DNA, sequence018, whole genome shotgun sequence	63206	63829	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	49.565	7.19e-65	214	98	BJOH01000068.1 Cobetia marina NBRC 15607 DNA, sequence068, whole genome shotgun sequence	5804	5115	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	50.909	7.98e-77	251	99	BJOH01000068.1 Cobetia marina NBRC 15607 DNA, sequence068, whole genome shotgun sequence	5942	5118	transporter
gnl|TC-DB|B7K3R7|1.A.1.24.4	1.A.1.24.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B7K3R7|1.A.1.24.4	27.941	8.50e-22	92.0	95	BJOH01000068.1 Cobetia marina NBRC 15607 DNA, sequence068, whole genome shotgun sequence	5909	5112	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	23.977	2.45e-07	47.8	82	BJOH01000006.1 Cobetia marina NBRC 15607 DNA, sequence006, whole genome shotgun sequence	4864	4361	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	38.715	0.0	683	98	BJOH01000032.1 Cobetia marina NBRC 15607 DNA, sequence032, whole genome shotgun sequence	10324	7022	transporter
