# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.730	0.0	647	98	VFBC01000002.1 Cobetia sp. MB87 contig-3, whole genome shotgun sequence	213610	211568	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	9.49e-06	39.7	87	VFBC01000008.1 Cobetia sp. MB87 contig-8, whole genome shotgun sequence	227209	226997	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	9.49e-06	39.7	87	VFBC01000008.1 Cobetia sp. MB87 contig-8, whole genome shotgun sequence	227209	226997	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	27.184	1.54e-12	64.3	77	VFBC01000007.1 Cobetia sp. MB87 contig-7, whole genome shotgun sequence	360526	361134	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.270	6.53e-19	84.0	83	VFBC01000009.1 Cobetia sp. MB87 contig-9, whole genome shotgun sequence	19687	20388	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	1.39e-16	75.9	86	VFBC01000004.1 Cobetia sp. MB87 contig-6, whole genome shotgun sequence	125399	126073	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.0	26.6	87	VFBC01000007.1 Cobetia sp. MB87 contig-7, whole genome shotgun sequence	152259	152864	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.30e-07	48.1	85	VFBC01000007.1 Cobetia sp. MB87 contig-7, whole genome shotgun sequence	152286	152843	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.11e-80	258	99	VFBC01000007.1 Cobetia sp. MB87 contig-7, whole genome shotgun sequence	152241	152864	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	5.93e-63	209	98	VFBC01000008.1 Cobetia sp. MB87 contig-8, whole genome shotgun sequence	227524	226835	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	51.087	1.11e-77	253	99	VFBC01000008.1 Cobetia sp. MB87 contig-8, whole genome shotgun sequence	227665	226838	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	24.227	5.64e-06	43.1	87	VFBC01000008.1 Cobetia sp. MB87 contig-8, whole genome shotgun sequence	227596	227021	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	38.924	0.0	684	97	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	466654	463358	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	38.924	0.0	684	97	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	466654	463358	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	36.047	1.81e-112	372	92	VFBC01000006.1 Cobetia sp. MB87 contig-2000006, whole genome shotgun sequence	64897	66948	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	36.047	1.81e-112	372	92	VFBC01000006.1 Cobetia sp. MB87 contig-2000006, whole genome shotgun sequence	64897	66948	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	45.277	1.66e-73	244	86	VFBC01000007.1 Cobetia sp. MB87 contig-7, whole genome shotgun sequence	314062	314958	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	61.404	4.27e-113	355	97	VFBC01000002.1 Cobetia sp. MB87 contig-3, whole genome shotgun sequence	226443	225589	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	31.120	1.45e-26	104	90	VFBC01000002.1 Cobetia sp. MB87 contig-3, whole genome shotgun sequence	71825	72487	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	52.074	7.36e-72	234	94	VFBC01000002.1 Cobetia sp. MB87 contig-3, whole genome shotgun sequence	71834	72481	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	27.273	3.87e-06	44.3	87	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34145	33429	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	26.296	6.82e-07	47.0	98	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34172	33393	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	29.268	1.38e-15	73.6	94	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	33149	32352	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	24.797	1.27e-05	43.5	80	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34148	33420	transporter
gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	49.289	1.10e-55	189	76	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34046	33414	transporter
gnl|TC-DB|ABT13584.1|1.A.8.2.10	1.A.8.2.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ABT13584.1|1.A.8.2.10	35.769	2.26e-26	105	95	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	33164	32457	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	31.944	6.32e-30	116	98	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34109	33396	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	32.083	1.17e-25	102	94	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34103	33420	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	41.079	2.47e-44	155	97	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	33158	32454	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	42.396	5.61e-38	137	90	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34091	33447	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	51.982	1.28e-50	174	92	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34127	33447	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	37.118	6.70e-37	135	89	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34109	33459	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	38.655	1.96e-33	124	97	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	33149	32454	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	39.024	1.86e-43	153	98	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34097	33396	transporter
gnl|TC-DB|G9NVB0|1.A.8.9.18	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|G9NVB0|1.A.8.9.18	37.959	1.50e-32	124	80	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34088	33393	transporter
gnl|TC-DB|806392255|1.A.8.9.10	1.A.8.9.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|806392255|1.A.8.9.10	30.488	1.86e-13	67.8	81	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34088	33393	transporter
gnl|TC-DB|Q8WPZ6|1.A.8.9.13	1.A.8.9.13	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8WPZ6|1.A.8.9.13	30.081	1.43e-18	82.0	90	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	33176	32481	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.14	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	32.550	1.35e-26	106	95	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34145	33312	transporter
gnl|TC-DB|ALA27401|1.A.8.9.17	1.A.8.9.17	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ALA27401|1.A.8.9.17	26.452	5.52e-12	63.9	91	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	33269	32430	transporter
gnl|TC-DB|Q388I5|1.A.8.9.19	1.A.8.9.19	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q388I5|1.A.8.9.19	26.599	2.56e-11	61.2	91	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	33248	32457	transporter
gnl|TC-DB|Q6ZXT2|1.A.8.9.21	1.A.8.9.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT2|1.A.8.9.21	34.387	7.86e-25	101	81	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34124	33393	transporter
gnl|TC-DB|Q6ZXT2|1.A.8.9.21	1.A.8.9.21	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT2|1.A.8.9.21	34.387	7.86e-25	101	81	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34124	33393	transporter
gnl|TC-DB|Q6Q1Q6|1.A.8.9.3	1.A.8.9.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6Q1Q6|1.A.8.9.3	30.698	1.14e-18	82.8	75	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	33071	32454	transporter
gnl|TC-DB|Q6Q1Q6|1.A.8.9.3	1.A.8.9.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q6Q1Q6|1.A.8.9.3	30.698	1.14e-18	82.8	75	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	33071	32454	transporter
gnl|TC-DB|F6QEC2|1.A.8.9.9	1.A.8.9.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|F6QEC2|1.A.8.9.9	34.553	6.57e-18	80.9	81	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	34088	33393	transporter
gnl|TC-DB|C6L855|1.A.98.1.1	1.A.98.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|C6L855|1.A.98.1.1	25.333	5.2	22.7	86	VFBC01000008.1 Cobetia sp. MB87 contig-8, whole genome shotgun sequence	429393	429599	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	32.075	1.7	22.7	91	VFBC01000012.1 Cobetia sp. MB87 contig-2000011, whole genome shotgun sequence	11645	11755	transporter
gnl|TC-DB|P0C6Q6|1.B.1.1.15	1.B.1.1.15	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0C6Q6|1.B.1.1.15	25.882	0.017	33.9	90	VFBC01000005.1 Cobetia sp. MB87 contig-1000006, whole genome shotgun sequence	322172	321204	transporter
gnl|TC-DB|P06971|1.B.14.1.2	1.B.14.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P06971|1.B.14.1.2	39.021	4.19e-126	412	90	VFBC01000008.1 Cobetia sp. MB87 contig-8, whole genome shotgun sequence	335696	333768	transporter
gnl|TC-DB|P50708|1.C.19.1.4	1.C.19.1.4	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P50708|1.C.19.1.4	22.535	0.25	26.6	75	VFBC01000002.1 Cobetia sp. MB87 contig-3, whole genome shotgun sequence	104592	104380	transporter
