# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.676	0.0	618	98	CP024893.1 Cobetia sp. ICG0124 chromosome	1677755	1679791	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	7.74e-05	37.0	80	CP024893.1 Cobetia sp. ICG0124 chromosome	2955186	2955383	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	7.74e-05	37.0	80	CP024893.1 Cobetia sp. ICG0124 chromosome	2955186	2955383	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.653	1.45e-14	70.5	77	CP024893.1 Cobetia sp. ICG0124 chromosome	1467110	1467691	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	29.060	6.26e-15	72.0	78	CP024893.1 Cobetia sp. ICG0124 chromosome	1644244	1643591	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	26.860	3.21e-16	74.7	86	CP024893.1 Cobetia sp. ICG0124 chromosome	443903	444622	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	23.874	6.4	25.0	87	CP024893.1 Cobetia sp. ICG0124 chromosome	2593210	2592605	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	23.560	3.07e-08	50.4	85	CP024893.1 Cobetia sp. ICG0124 chromosome	2593183	2592626	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	62.201	3.70e-81	260	99	CP024893.1 Cobetia sp. ICG0124 chromosome	2593228	2592605	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	49.565	1.37e-64	214	98	CP024893.1 Cobetia sp. ICG0124 chromosome	2954856	2955545	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	51.103	8.92e-77	250	98	CP024893.1 Cobetia sp. ICG0124 chromosome	2954718	2955533	transporter
gnl|TC-DB|B7K3R7|1.A.1.24.4	1.A.1.24.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B7K3R7|1.A.1.24.4	29.825	7.31e-22	92.0	79	CP024893.1 Cobetia sp. ICG0124 chromosome	2954874	2955548	transporter
gnl|TC-DB|I0XVQ9|1.A.1.5.31	1.A.1.5.31	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|I0XVQ9|1.A.1.5.31	24.269	8.74e-07	48.1	75	CP024893.1 Cobetia sp. ICG0124 chromosome	443867	444748	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	23.977	4.90e-07	46.6	82	CP024893.1 Cobetia sp. ICG0124 chromosome	443819	444322	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	40.413	0.0	655	89	CP024893.1 Cobetia sp. ICG0124 chromosome	736919	739924	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	40.413	0.0	655	89	CP024893.1 Cobetia sp. ICG0124 chromosome	736919	739924	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	36.310	1.13e-112	373	91	CP024893.1 Cobetia sp. ICG0124 chromosome	3200283	3202319	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	36.310	1.13e-112	373	91	CP024893.1 Cobetia sp. ICG0124 chromosome	3200283	3202319	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	43.974	3.08e-71	238	86	CP024893.1 Cobetia sp. ICG0124 chromosome	2456336	2455440	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	62.105	1.02e-108	343	97	CP024893.1 Cobetia sp. ICG0124 chromosome	1668347	1669201	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	30.380	1.07e-26	105	90	CP024893.1 Cobetia sp. ICG0124 chromosome	1788543	1787881	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	52.074	4.71e-71	232	94	CP024893.1 Cobetia sp. ICG0124 chromosome	1788534	1787887	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	31.818	2.19e-14	68.2	93	CP024893.1 Cobetia sp. ICG0124 chromosome	1424256	1424831	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	31.818	2.19e-14	68.2	93	CP024893.1 Cobetia sp. ICG0124 chromosome	1424256	1424831	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	29.148	8.18e-07	46.6	82	CP024893.1 Cobetia sp. ICG0124 chromosome	1104590	1105249	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	26.050	2.24e-04	39.3	85	CP024893.1 Cobetia sp. ICG0124 chromosome	1104590	1105285	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	30.576	8.05e-14	68.6	95	CP024893.1 Cobetia sp. ICG0124 chromosome	1105313	1106098	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	24.194	5.14e-05	41.6	80	CP024893.1 Cobetia sp. ICG0124 chromosome	1104530	1105258	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	26.201	8.2	24.3	93	CP024893.1 Cobetia sp. ICG0124 chromosome	1105313	1105987	transporter
