# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.730	0.0	647	98	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	2213473	2211431	transporter
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	27.160	0.48	25.8	85	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	397134	397361	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.29e-05	39.7	87	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	413920	413708	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.29e-05	39.7	87	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	413920	413708	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	33.163	8.44e-16	74.3	77	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	1665214	1665795	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.270	8.95e-19	84.0	87	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	2389061	2388360	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	2.11e-16	75.5	86	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	3680219	3679545	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.698	3.0	26.6	84	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	828242	828820	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	25.131	4.82e-08	50.1	85	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	828242	828799	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.78e-80	258	99	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	828197	828820	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	8.96e-63	209	98	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	414235	413546	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	51.087	1.41e-77	253	99	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	414376	413549	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	24.227	1.22e-05	42.7	87	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	414307	413732	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	38.834	0.0	684	97	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	3338913	3335617	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	38.834	0.0	684	97	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	3338913	3335617	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	36.632	1.24e-112	373	90	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	129994	127976	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	36.632	1.24e-112	373	90	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	129994	127976	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	45.277	2.01e-73	244	86	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	991640	992536	transporter
gnl|TC-DB|XP_014115346.1|1.A.27.2.2	1.A.27.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|XP_014115346.1|1.A.27.2.2	26.761	3.3	23.5	82	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	1396240	1396446	transporter
gnl|TC-DB|XP_014115346.1|1.A.27.2.2	1.A.27.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|XP_014115346.1|1.A.27.2.2	26.761	3.3	23.5	82	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	1396240	1396446	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	61.053	2.18e-112	354	97	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	2226195	2225341	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	31.120	1.97e-26	104	90	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	2071545	2072207	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	52.074	1.00e-71	234	94	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	2071554	2072201	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	34.375	7.88e-12	60.8	77	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	2459416	2458949	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	34.375	7.88e-12	60.8	77	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	2459416	2458949	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	27.236	9.77e-06	43.5	87	CP044522.1 Cobetia sp. cqz5-12 chromosome, complete genome	2908140	2907412	transporter
