# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.676	0.0	617	98	CP017114.1 Cobetia marina strain JCM 21022 chromosome, complete genome	2095784	2097820	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.66e-05	37.0	80	CP017114.1 Cobetia marina strain JCM 21022 chromosome, complete genome	3720475	3720672	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.66e-05	37.0	80	CP017114.1 Cobetia marina strain JCM 21022 chromosome, complete genome	3720475	3720672	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.653	1.82e-14	70.5	77	CP017114.1 Cobetia marina strain JCM 21022 chromosome, complete genome	1824466	1825047	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	29.060	9.40e-15	71.6	83	CP017114.1 Cobetia marina strain JCM 21022 chromosome, complete genome	2050829	2050176	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	26.141	1.04e-16	76.6	86	CP017114.1 Cobetia marina strain JCM 21022 chromosome, complete genome	487487	488206	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	24.000	3.3	26.2	88	CP017114.1 Cobetia marina strain JCM 21022 chromosome, complete genome	3303840	3303226	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	23.041	0.82	28.1	85	CP017114.1 Cobetia marina strain JCM 21022 chromosome, complete genome	3303819	3303226	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	23.560	3.83e-08	50.4	85	CP017114.1 Cobetia marina strain JCM 21022 chromosome, complete genome	3303813	3303256	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	62.201	4.62e-81	260	99	CP017114.1 Cobetia marina strain JCM 21022 chromosome, complete genome	3303858	3303235	transporter
