# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.583	0.0	645	98	JALNTQ010000001.1 Cobetia sp. 1CM21F NODE_1_length_1408255_cov_292.690624, whole genome shotgun sequence	1190681	1192723	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.30e-05	39.7	87	JALNTQ010000003.1 Cobetia sp. 1CM21F NODE_3_length_480146_cov_302.678859, whole genome shotgun sequence	219869	219657	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.30e-05	39.7	87	JALNTQ010000003.1 Cobetia sp. 1CM21F NODE_3_length_480146_cov_302.678859, whole genome shotgun sequence	219869	219657	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	26.728	1.48e-18	82.4	78	JALNTQ010000003.1 Cobetia sp. 1CM21F NODE_3_length_480146_cov_302.678859, whole genome shotgun sequence	236772	237389	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.692	9.40e-19	83.6	83	JALNTQ010000001.1 Cobetia sp. 1CM21F NODE_1_length_1408255_cov_292.690624, whole genome shotgun sequence	1010905	1011606	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	1.80e-16	75.9	86	JALNTQ010000005.1 Cobetia sp. 1CM21F NODE_5_length_229690_cov_301.404298, whole genome shotgun sequence	187428	188102	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.7	26.6	87	JALNTQ010000002.1 Cobetia sp. 1CM21F NODE_2_length_1310226_cov_295.186069, whole genome shotgun sequence	1174764	1174159	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.78e-07	48.1	85	JALNTQ010000002.1 Cobetia sp. 1CM21F NODE_2_length_1310226_cov_295.186069, whole genome shotgun sequence	1174737	1174180	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.90e-80	258	99	JALNTQ010000002.1 Cobetia sp. 1CM21F NODE_2_length_1310226_cov_295.186069, whole genome shotgun sequence	1174782	1174159	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	5.03e-63	209	98	JALNTQ010000003.1 Cobetia sp. 1CM21F NODE_3_length_480146_cov_302.678859, whole genome shotgun sequence	220184	219495	transporter
