# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.676	0.0	617	98	JASCSB010000004.1 Cobetia pacifica strain NRIC 0813 NODE_4_length_400936_cov_86.036929, whole genome shotgun sequence	211888	209852	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.41e-05	37.0	80	JASCSB010000003.1 Cobetia pacifica strain NRIC 0813 NODE_3_length_476335_cov_85.121284, whole genome shotgun sequence	214624	214427	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.41e-05	37.0	80	JASCSB010000003.1 Cobetia pacifica strain NRIC 0813 NODE_3_length_476335_cov_85.121284, whole genome shotgun sequence	214624	214427	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.143	4.48e-14	68.9	75	JASCSB010000006.1 Cobetia pacifica strain NRIC 0813 NODE_6_length_393653_cov_87.803807, whole genome shotgun sequence	74484	73903	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	29.060	9.14e-15	71.6	78	JASCSB010000004.1 Cobetia pacifica strain NRIC 0813 NODE_4_length_400936_cov_86.036929, whole genome shotgun sequence	248206	248859	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	26.141	1.01e-16	76.6	86	JASCSB010000008.1 Cobetia pacifica strain NRIC 0813 NODE_8_length_228030_cov_85.719377, whole genome shotgun sequence	186667	187386	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	24.000	3.2	26.2	88	JASCSB010000005.1 Cobetia pacifica strain NRIC 0813 NODE_5_length_397316_cov_86.009024, whole genome shotgun sequence	147817	148431	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	23.041	0.80	28.1	85	JASCSB010000005.1 Cobetia pacifica strain NRIC 0813 NODE_5_length_397316_cov_86.009024, whole genome shotgun sequence	147838	148431	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	23.560	3.72e-08	50.4	85	JASCSB010000005.1 Cobetia pacifica strain NRIC 0813 NODE_5_length_397316_cov_86.009024, whole genome shotgun sequence	147844	148401	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	62.201	4.49e-81	260	99	JASCSB010000005.1 Cobetia pacifica strain NRIC 0813 NODE_5_length_397316_cov_86.009024, whole genome shotgun sequence	147799	148422	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	49.565	7.18e-65	214	98	JASCSB010000003.1 Cobetia pacifica strain NRIC 0813 NODE_3_length_476335_cov_85.121284, whole genome shotgun sequence	214954	214265	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	50.909	8.03e-77	251	99	JASCSB010000003.1 Cobetia pacifica strain NRIC 0813 NODE_3_length_476335_cov_85.121284, whole genome shotgun sequence	215092	214268	transporter
