# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.583	0.0	642	98	JARWKS010000017.1 Cobetia sp. 29-18-1 NODE_17_length_100416_cov_65.781399, whole genome shotgun sequence	41919	43961	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.26e-05	39.7	87	JARWKS010000001.1 Cobetia sp. 29-18-1 NODE_1_length_456562_cov_65.190698, whole genome shotgun sequence	197693	197481	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.26e-05	39.7	87	JARWKS010000001.1 Cobetia sp. 29-18-1 NODE_1_length_456562_cov_65.190698, whole genome shotgun sequence	197693	197481	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.198	2.60e-16	75.9	75	JARWKS010000018.1 Cobetia sp. 29-18-1 NODE_18_length_84454_cov_64.629747, whole genome shotgun sequence	13489	14079	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.692	1.75e-19	85.9	85	JARWKS010000003.1 Cobetia sp. 29-18-1 NODE_3_length_252316_cov_65.776688, whole genome shotgun sequence	184066	184767	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	1.78e-16	75.9	86	JARWKS010000024.1 Cobetia sp. 29-18-1 NODE_24_length_58278_cov_63.299744, whole genome shotgun sequence	15832	16506	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.6	26.6	87	JARWKS010000016.1 Cobetia sp. 29-18-1 NODE_16_length_113607_cov_65.376973, whole genome shotgun sequence	78232	78837	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.72e-07	48.1	85	JARWKS010000016.1 Cobetia sp. 29-18-1 NODE_16_length_113607_cov_65.376973, whole genome shotgun sequence	78259	78816	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.79e-80	258	99	JARWKS010000016.1 Cobetia sp. 29-18-1 NODE_16_length_113607_cov_65.376973, whole genome shotgun sequence	78214	78837	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	4.72e-63	209	98	JARWKS010000001.1 Cobetia sp. 29-18-1 NODE_1_length_456562_cov_65.190698, whole genome shotgun sequence	198008	197319	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	51.087	9.92e-78	253	99	JARWKS010000001.1 Cobetia sp. 29-18-1 NODE_1_length_456562_cov_65.190698, whole genome shotgun sequence	198149	197322	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	24.227	4.48e-06	43.9	87	JARWKS010000001.1 Cobetia sp. 29-18-1 NODE_1_length_456562_cov_65.190698, whole genome shotgun sequence	198080	197505	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	38.565	0.0	686	97	JARWKS010000002.1 Cobetia sp. 29-18-1 NODE_2_length_284331_cov_65.633546, whole genome shotgun sequence	14191	17487	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	38.565	0.0	686	97	JARWKS010000002.1 Cobetia sp. 29-18-1 NODE_2_length_284331_cov_65.633546, whole genome shotgun sequence	14191	17487	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	35.756	3.36e-109	363	92	JARWKS010000015.1 Cobetia sp. 29-18-1 NODE_15_length_115637_cov_65.889818, whole genome shotgun sequence	64736	66787	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	35.756	3.36e-109	363	92	JARWKS010000015.1 Cobetia sp. 29-18-1 NODE_15_length_115637_cov_65.889818, whole genome shotgun sequence	64736	66787	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	45.338	3.24e-74	246	87	JARWKS010000007.1 Cobetia sp. 29-18-1 NODE_7_length_207045_cov_64.434103, whole genome shotgun sequence	80320	79412	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	61.053	1.11e-112	355	97	JARWKS010000017.1 Cobetia sp. 29-18-1 NODE_17_length_100416_cov_65.781399, whole genome shotgun sequence	29312	30166	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	31.120	1.92e-26	104	90	JARWKS010000008.1 Cobetia sp. 29-18-1 NODE_8_length_196878_cov_65.335118, whole genome shotgun sequence	84325	83663	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	52.074	9.77e-72	234	94	JARWKS010000008.1 Cobetia sp. 29-18-1 NODE_8_length_196878_cov_65.335118, whole genome shotgun sequence	84316	83669	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	34.375	4.90e-12	61.6	77	JARWKS010000003.1 Cobetia sp. 29-18-1 NODE_3_length_252316_cov_65.776688, whole genome shotgun sequence	142635	143102	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	34.375	4.90e-12	61.6	77	JARWKS010000003.1 Cobetia sp. 29-18-1 NODE_3_length_252316_cov_65.776688, whole genome shotgun sequence	142635	143102	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	27.273	1.06e-05	43.5	87	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65284	64568	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	26.296	1.46e-06	46.2	94	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65311	64532	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	32.353	7.97e-13	65.9	86	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	64288	63638	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	24.797	5.12e-05	42.0	84	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65287	64559	transporter
gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	49.289	2.29e-55	189	76	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65185	64553	transporter
gnl|TC-DB|ABT13584.1|1.A.8.2.10	1.A.8.2.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ABT13584.1|1.A.8.2.10	36.179	5.36e-24	98.6	95	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	64303	63638	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	31.944	5.41e-30	116	98	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65248	64535	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	32.917	1.45e-25	102	94	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65242	64559	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	41.949	2.02e-42	150	96	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65236	64541	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	42.396	6.19e-38	137	90	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65230	64586	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	51.982	1.65e-50	174	92	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65266	64586	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	36.726	5.34e-37	135	89	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65248	64598	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	40.678	2.68e-31	118	96	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65236	64541	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	38.525	1.13e-42	151	98	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65230	64535	transporter
gnl|TC-DB|G9NVB0|1.A.8.9.18	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|G9NVB0|1.A.8.9.18	37.959	6.47e-32	122	80	JARWKS010000005.1 Cobetia sp. 29-18-1 NODE_5_length_226709_cov_65.475491, whole genome shotgun sequence	65227	64532	transporter
