# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.583	0.0	642	98	CP059843.1 Cobetia sp. 4B chromosome, complete genome	2234854	2232812	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.32e-05	39.7	87	CP059843.1 Cobetia sp. 4B chromosome, complete genome	418813	418601	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.32e-05	39.7	87	CP059843.1 Cobetia sp. 4B chromosome, complete genome	418813	418601	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.198	1.16e-16	77.0	77	CP059843.1 Cobetia sp. 4B chromosome, complete genome	1392145	1392735	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.270	1.31e-18	83.2	83	CP059843.1 Cobetia sp. 4B chromosome, complete genome	2406849	2406148	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	1.89e-16	75.9	86	CP059843.1 Cobetia sp. 4B chromosome, complete genome	3787454	3786780	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.8	26.6	87	CP059843.1 Cobetia sp. 4B chromosome, complete genome	839168	839773	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.81e-07	48.1	85	CP059843.1 Cobetia sp. 4B chromosome, complete genome	839195	839752	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.95e-80	258	99	CP059843.1 Cobetia sp. 4B chromosome, complete genome	839150	839773	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	5.79e-63	209	98	CP059843.1 Cobetia sp. 4B chromosome, complete genome	419128	418439	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	51.087	8.94e-78	254	99	CP059843.1 Cobetia sp. 4B chromosome, complete genome	419269	418442	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	23.418	4.80e-06	43.9	87	CP059843.1 Cobetia sp. 4B chromosome, complete genome	3787493	3787035	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	38.565	0.0	686	97	CP059843.1 Cobetia sp. 4B chromosome, complete genome	3434792	3431496	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	38.565	0.0	686	97	CP059843.1 Cobetia sp. 4B chromosome, complete genome	3434792	3431496	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	35.901	4.23e-110	366	92	CP059843.1 Cobetia sp. 4B chromosome, complete genome	130430	128379	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	35.901	4.23e-110	366	92	CP059843.1 Cobetia sp. 4B chromosome, complete genome	130430	128379	transporter
