# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.583	0.0	646	98	JABVXD010000003.1 Cobetia marina strain 402 NODE_3_length_348748_cov_33.6471, whole genome shotgun sequence	281831	279789	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.22e-05	39.7	87	JABVXD010000009.1 Cobetia marina strain 402 NODE_9_length_205436_cov_48.3936, whole genome shotgun sequence	16432	16644	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.22e-05	39.7	87	JABVXD010000009.1 Cobetia marina strain 402 NODE_9_length_205436_cov_48.3936, whole genome shotgun sequence	16432	16644	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.653	1.21e-15	73.6	75	JABVXD010000016.1 Cobetia marina strain 402 NODE_16_length_104166_cov_36.6405, whole genome shotgun sequence	39026	38445	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	29.114	2.67e-19	85.1	83	JABVXD010000010.1 Cobetia marina strain 402 NODE_10_length_144444_cov_35.6845, whole genome shotgun sequence	46007	46708	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.652	3.99e-17	77.8	86	JABVXD010000007.1 Cobetia marina strain 402 NODE_7_length_229584_cov_49.8022, whole genome shotgun sequence	42669	41995	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.6	26.6	87	JABVXD010000001.1 Cobetia marina strain 402 NODE_1_length_452776_cov_43.9779, whole genome shotgun sequence	388348	387743	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.66e-07	48.1	85	JABVXD010000001.1 Cobetia marina strain 402 NODE_1_length_452776_cov_43.9779, whole genome shotgun sequence	388321	387764	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.71e-80	258	99	JABVXD010000001.1 Cobetia marina strain 402 NODE_1_length_452776_cov_43.9779, whole genome shotgun sequence	388366	387743	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	7.17e-63	209	98	JABVXD010000009.1 Cobetia marina strain 402 NODE_9_length_205436_cov_48.3936, whole genome shotgun sequence	16117	16806	transporter
