# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.730	0.0	642	98	JAMXRV010000006.1 Cobetia sp. Dlab-2-AX NODE_6_length_276948_cov_31.845792, whole genome shotgun sequence	218824	216782	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.916	1.08e-05	39.7	80	JAMXRV010000004.1 Cobetia sp. Dlab-2-AX NODE_4_length_421900_cov_39.714759, whole genome shotgun sequence	179745	179548	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.916	1.08e-05	39.7	80	JAMXRV010000004.1 Cobetia sp. Dlab-2-AX NODE_4_length_421900_cov_39.714759, whole genome shotgun sequence	179745	179548	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.693	6.97e-17	77.4	75	JAMXRV010000002.1 Cobetia sp. Dlab-2-AX NODE_2_length_599291_cov_32.660635, whole genome shotgun sequence	480071	479481	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.270	1.11e-18	83.6	83	JAMXRV010000012.1 Cobetia sp. Dlab-2-AX NODE_12_length_111218_cov_31.212537, whole genome shotgun sequence	19885	20586	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	1.88e-16	75.9	86	JAMXRV010000007.1 Cobetia sp. Dlab-2-AX NODE_7_length_229195_cov_40.541285, whole genome shotgun sequence	42870	42196	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.6	26.6	87	JAMXRV010000003.1 Cobetia sp. Dlab-2-AX NODE_3_length_518007_cov_35.913287, whole genome shotgun sequence	134855	135460	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.67e-07	48.1	85	JAMXRV010000003.1 Cobetia sp. Dlab-2-AX NODE_3_length_518007_cov_35.913287, whole genome shotgun sequence	134882	135439	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.72e-80	258	99	JAMXRV010000003.1 Cobetia sp. Dlab-2-AX NODE_3_length_518007_cov_35.913287, whole genome shotgun sequence	134837	135460	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.391	1.22e-62	208	98	JAMXRV010000004.1 Cobetia sp. Dlab-2-AX NODE_4_length_421900_cov_39.714759, whole genome shotgun sequence	180075	179386	transporter
