# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.676	0.0	617	98	SWFN01000001.1 Cobetia marina strain T1 NODE_1_length_1498310_cov_36.169830, whole genome shotgun sequence	94670	96706	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.66e-05	37.0	80	SWFN01000003.1 Cobetia marina strain T1 NODE_3_length_474594_cov_52.062411, whole genome shotgun sequence	260389	260586	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.66e-05	37.0	80	SWFN01000003.1 Cobetia marina strain T1 NODE_3_length_474594_cov_52.062411, whole genome shotgun sequence	260389	260586	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.769	2.32e-17	79.0	80	SWFN01000004.1 Cobetia marina strain T1 NODE_4_length_398333_cov_32.248070, whole genome shotgun sequence	282074	282697	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	29.060	7.12e-15	72.0	78	SWFN01000001.1 Cobetia marina strain T1 NODE_1_length_1498310_cov_36.169830, whole genome shotgun sequence	49766	49113	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	26.141	1.03e-16	76.6	86	SWFN01000006.1 Cobetia marina strain T1 NODE_6_length_228481_cov_53.716642, whole genome shotgun sequence	41736	41017	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	24.000	3.3	26.2	88	SWFN01000001.1 Cobetia marina strain T1 NODE_1_length_1498310_cov_36.169830, whole genome shotgun sequence	1350223	1349609	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	23.041	0.83	28.1	85	SWFN01000001.1 Cobetia marina strain T1 NODE_1_length_1498310_cov_36.169830, whole genome shotgun sequence	1350202	1349609	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	23.560	3.83e-08	50.4	85	SWFN01000001.1 Cobetia marina strain T1 NODE_1_length_1498310_cov_36.169830, whole genome shotgun sequence	1350196	1349639	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	62.201	4.62e-81	260	99	SWFN01000001.1 Cobetia marina strain T1 NODE_1_length_1498310_cov_36.169830, whole genome shotgun sequence	1350241	1349618	transporter
