# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.23e-05	39.7	87	JADPPY010000004.1 Cobetia sp. MC34 NODE_4_length_211884_cov_42.939719, whole genome shotgun sequence	183623	183411	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.23e-05	39.7	87	JADPPY010000004.1 Cobetia sp. MC34 NODE_4_length_211884_cov_42.939719, whole genome shotgun sequence	183623	183411	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.542	1.18e-16	76.6	75	JADPPY010000013.1 Cobetia sp. MC34 NODE_13_length_105677_cov_43.150497, whole genome shotgun sequence	12257	12850	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.692	6.11e-19	84.0	83	JADPPY010000055.1 Cobetia sp. MC34 NODE_55_length_10942_cov_43.721498, whole genome shotgun sequence	3358	2657	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	1.70e-16	75.9	86	JADPPY010000003.1 Cobetia sp. MC34 NODE_3_length_230138_cov_42.599324, whole genome shotgun sequence	187354	188028	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.6	26.6	87	JADPPY010000001.1 Cobetia sp. MC34 NODE_1_length_309807_cov_42.188301, whole genome shotgun sequence	238643	238038	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.68e-07	48.1	85	JADPPY010000001.1 Cobetia sp. MC34 NODE_1_length_309807_cov_42.188301, whole genome shotgun sequence	238616	238059	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.74e-80	258	99	JADPPY010000001.1 Cobetia sp. MC34 NODE_1_length_309807_cov_42.188301, whole genome shotgun sequence	238661	238038	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	4.06e-63	209	98	JADPPY010000004.1 Cobetia sp. MC34 NODE_4_length_211884_cov_42.939719, whole genome shotgun sequence	183938	183249	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	51.087	6.71e-78	254	99	JADPPY010000004.1 Cobetia sp. MC34 NODE_4_length_211884_cov_42.939719, whole genome shotgun sequence	184079	183252	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	23.418	4.45e-06	43.9	76	JADPPY010000003.1 Cobetia sp. MC34 NODE_3_length_230138_cov_42.599324, whole genome shotgun sequence	187315	187773	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	38.544	0.0	684	97	JADPPY010000015.1 Cobetia sp. MC34 NODE_15_length_89079_cov_43.139367, whole genome shotgun sequence	50119	53409	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	38.544	0.0	684	97	JADPPY010000015.1 Cobetia sp. MC34 NODE_15_length_89079_cov_43.139367, whole genome shotgun sequence	50119	53409	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	35.756	7.60e-110	365	92	JADPPY010000010.1 Cobetia sp. MC34 NODE_10_length_118340_cov_42.303554, whole genome shotgun sequence	53662	51611	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	35.756	7.60e-110	365	92	JADPPY010000010.1 Cobetia sp. MC34 NODE_10_length_118340_cov_42.303554, whole genome shotgun sequence	53662	51611	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	45.277	2.15e-73	244	86	JADPPY010000001.1 Cobetia sp. MC34 NODE_1_length_309807_cov_42.188301, whole genome shotgun sequence	76704	75808	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	31.120	1.88e-26	104	90	JADPPY010000005.1 Cobetia sp. MC34 NODE_5_length_182039_cov_43.389458, whole genome shotgun sequence	71525	70863	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	52.074	9.54e-72	234	94	JADPPY010000005.1 Cobetia sp. MC34 NODE_5_length_182039_cov_43.389458, whole genome shotgun sequence	71516	70869	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	34.375	4.38e-12	61.6	77	JADPPY010000016.1 Cobetia sp. MC34 NODE_16_length_83119_cov_42.744530, whole genome shotgun sequence	35682	35215	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	34.375	4.38e-12	61.6	77	JADPPY010000016.1 Cobetia sp. MC34 NODE_16_length_83119_cov_42.744530, whole genome shotgun sequence	35682	35215	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	28.251	1.39e-05	43.1	80	JADPPY010000029.1 Cobetia sp. MC34 NODE_29_length_45696_cov_42.195396, whole genome shotgun sequence	42724	42065	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	26.296	1.43e-05	43.1	94	JADPPY010000029.1 Cobetia sp. MC34 NODE_29_length_45696_cov_42.195396, whole genome shotgun sequence	42808	42029	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	32.353	8.23e-13	65.9	86	JADPPY010000029.1 Cobetia sp. MC34 NODE_29_length_45696_cov_42.195396, whole genome shotgun sequence	41784	41134	transporter
