# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.676	0.0	617	98	JARWKR010000004.1 Cobetia sp. 3AK NODE_4_length_390230_cov_68.945676, whole genome shotgun sequence	179853	181889	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.42e-05	37.0	80	JARWKR010000003.1 Cobetia sp. 3AK NODE_3_length_430939_cov_68.513600, whole genome shotgun sequence	217484	217681	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.42e-05	37.0	80	JARWKR010000003.1 Cobetia sp. 3AK NODE_3_length_430939_cov_68.513600, whole genome shotgun sequence	217484	217681	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.143	4.48e-14	68.9	75	JARWKR010000005.1 Cobetia sp. 3AK NODE_5_length_380950_cov_69.891309, whole genome shotgun sequence	308069	308650	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	29.060	8.19e-15	72.0	78	JARWKR010000004.1 Cobetia sp. 3AK NODE_4_length_390230_cov_68.945676, whole genome shotgun sequence	143552	142899	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	26.141	1.01e-16	76.6	86	JARWKR010000007.1 Cobetia sp. 3AK NODE_7_length_227264_cov_68.062726, whole genome shotgun sequence	185900	186619	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	24.000	3.2	26.2	88	JARWKR010000001.1 Cobetia sp. 3AK NODE_1_length_598187_cov_68.462808, whole genome shotgun sequence	450098	449484	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	23.041	0.80	28.1	85	JARWKR010000001.1 Cobetia sp. 3AK NODE_1_length_598187_cov_68.462808, whole genome shotgun sequence	450077	449484	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	23.560	3.73e-08	50.4	85	JARWKR010000001.1 Cobetia sp. 3AK NODE_1_length_598187_cov_68.462808, whole genome shotgun sequence	450071	449514	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	24.339	0.001	37.0	77	JARWKR010000002.1 Cobetia sp. 3AK NODE_2_length_553075_cov_68.260224, whole genome shotgun sequence	50354	50884	transporter
