# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|M1I9Q3|1.A.1.12.4	1.A.1.12.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|M1I9Q3|1.A.1.12.4	28.889	1.6	24.6	91	CP047025.1 Cobetia sp. L2A1 chromosome, complete genome	184340	184576	transporter
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	25.000	2.0	24.3	79	CP047025.1 Cobetia sp. L2A1 chromosome, complete genome	388338	388535	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	5.07e-04	35.0	80	CP047025.1 Cobetia sp. L2A1 chromosome, complete genome	405780	405583	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	5.07e-04	35.0	80	CP047025.1 Cobetia sp. L2A1 chromosome, complete genome	405780	405583	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.633	9.25e-15	71.2	76	CP047025.1 Cobetia sp. L2A1 chromosome, complete genome	1587602	1588183	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	29.060	6.73e-12	63.2	78	CP047025.1 Cobetia sp. L2A1 chromosome, complete genome	2140129	2140782	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	26.570	1.85e-16	75.9	79	CP047025.1 Cobetia sp. L2A1 chromosome, complete genome	3595405	3594788	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	22.072	1.4	27.3	87	CP047025.1 Cobetia sp. L2A1 chromosome, complete genome	820990	821595	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	8.14e-08	49.3	85	CP047025.1 Cobetia sp. L2A1 chromosome, complete genome	821017	821574	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	25.143	2.39e-09	53.9	75	CP047025.1 Cobetia sp. L2A1 chromosome, complete genome	2451756	2451247	transporter
