# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.676	0.0	617	98	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	58415	56379	transporter
gnl|TC-DB|Q84568|1.A.1.12.1	1.A.1.12.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q84568|1.A.1.12.1	31.579	0.002	32.7	81	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	2692410	2692216	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.71e-05	37.0	80	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	2664295	2664098	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.71e-05	37.0	80	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	2664295	2664098	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.653	1.82e-14	70.5	84	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	318728	318147	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	29.060	8.69e-15	72.0	78	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	94759	95412	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	26.141	1.04e-16	76.6	86	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	1720273	1719554	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	24.000	3.3	26.2	88	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	3078036	3078650	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	23.041	0.83	28.1	85	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	3078057	3078650	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	23.560	3.85e-08	50.4	85	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	3078063	3078620	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	25.143	3.89e-08	50.4	75	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	458776	458267	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	62.201	4.64e-81	260	99	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	3078018	3078641	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	49.565	7.42e-65	214	98	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	2664625	2663936	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	50.909	8.30e-77	251	99	CP047970.1 Cobetia pacifica strain GPM2 chromosome, complete genome	2664763	2663939	transporter
