# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.730	0.0	643	98	JARWKQ010000002.1 Cobetia sp. 2AS NODE_2_length_1104744_cov_46.300632, whole genome shotgun sequence	116238	114196	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.30e-05	39.7	87	JARWKQ010000003.1 Cobetia sp. 2AS NODE_3_length_485095_cov_44.109318, whole genome shotgun sequence	219447	219235	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.30e-05	39.7	87	JARWKQ010000003.1 Cobetia sp. 2AS NODE_3_length_485095_cov_44.109318, whole genome shotgun sequence	219447	219235	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.693	8.93e-17	77.0	77	JARWKQ010000001.1 Cobetia sp. 2AS NODE_1_length_1233078_cov_45.436111, whole genome shotgun sequence	660041	660631	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.270	1.29e-18	83.2	83	JARWKQ010000002.1 Cobetia sp. 2AS NODE_2_length_1104744_cov_46.300632, whole genome shotgun sequence	285989	285288	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	3.04e-16	75.1	86	JARWKQ010000006.1 Cobetia sp. 2AS NODE_6_length_230421_cov_44.342952, whole genome shotgun sequence	42383	41709	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.7	26.6	87	JARWKQ010000001.1 Cobetia sp. 2AS NODE_1_length_1233078_cov_45.436111, whole genome shotgun sequence	153690	154295	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.77e-07	48.1	85	JARWKQ010000001.1 Cobetia sp. 2AS NODE_1_length_1233078_cov_45.436111, whole genome shotgun sequence	153717	154274	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.89e-80	258	99	JARWKQ010000001.1 Cobetia sp. 2AS NODE_1_length_1233078_cov_45.436111, whole genome shotgun sequence	153672	154295	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	4.68e-63	209	98	JARWKQ010000003.1 Cobetia sp. 2AS NODE_3_length_485095_cov_44.109318, whole genome shotgun sequence	219762	219073	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	51.087	6.32e-78	254	99	JARWKQ010000003.1 Cobetia sp. 2AS NODE_3_length_485095_cov_44.109318, whole genome shotgun sequence	219903	219076	transporter
