# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.436	0.0	647	98	LJTD01000008.1 Cobetia sp. UCD-24C scaffold_7, whole genome shotgun sequence	43460	45502	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.29e-05	39.7	87	LJTD01000002.1 Cobetia sp. UCD-24C scaffold_1, whole genome shotgun sequence	219227	219015	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.29e-05	39.7	87	LJTD01000002.1 Cobetia sp. UCD-24C scaffold_1, whole genome shotgun sequence	219227	219015	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.693	9.55e-17	77.0	75	LJTD01000009.1 Cobetia sp. UCD-24C scaffold_8, whole genome shotgun sequence	66644	66054	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.270	1.28e-18	83.2	83	LJTD01000012.1 Cobetia sp. UCD-24C scaffold_11, whole genome shotgun sequence	110146	109445	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	1.73e-16	75.9	86	LJTD01000015.1 Cobetia sp. UCD-24C scaffold_14, whole genome shotgun sequence	42733	42059	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.7	26.6	87	LJTD01000001.1 Cobetia sp. UCD-24C scaffold_0, whole genome shotgun sequence	385846	385241	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.77e-07	48.1	85	LJTD01000001.1 Cobetia sp. UCD-24C scaffold_0, whole genome shotgun sequence	385819	385262	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.88e-80	258	99	LJTD01000001.1 Cobetia sp. UCD-24C scaffold_0, whole genome shotgun sequence	385864	385241	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	4.11e-63	209	98	LJTD01000002.1 Cobetia sp. UCD-24C scaffold_1, whole genome shotgun sequence	219542	218853	transporter
