# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.436	0.0	642	98	JASCSA010000001.1 Cobetia amphilecti strain NRIC 0815 NODE_1_length_537720_cov_79.769470, whole genome shotgun sequence	14134	16176	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.28e-05	39.7	87	JASCSA010000005.1 Cobetia amphilecti strain NRIC 0815 NODE_5_length_348858_cov_79.723345, whole genome shotgun sequence	257564	257776	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.28e-05	39.7	87	JASCSA010000005.1 Cobetia amphilecti strain NRIC 0815 NODE_5_length_348858_cov_79.723345, whole genome shotgun sequence	257564	257776	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.693	7.89e-17	77.4	75	JASCSA010000009.1 Cobetia amphilecti strain NRIC 0815 NODE_9_length_193356_cov_79.653923, whole genome shotgun sequence	122527	123117	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.692	2.65e-19	85.5	83	JASCSA010000008.1 Cobetia amphilecti strain NRIC 0815 NODE_8_length_220213_cov_79.950258, whole genome shotgun sequence	102047	101346	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	1.76e-16	75.9	86	JASCSA010000007.1 Cobetia amphilecti strain NRIC 0815 NODE_7_length_229937_cov_80.234538, whole genome shotgun sequence	187461	188135	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.7	26.6	87	JASCSA010000002.1 Cobetia amphilecti strain NRIC 0815 NODE_2_length_477028_cov_79.958329, whole genome shotgun sequence	395676	395071	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.74e-07	48.1	85	JASCSA010000002.1 Cobetia amphilecti strain NRIC 0815 NODE_2_length_477028_cov_79.958329, whole genome shotgun sequence	395649	395092	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.84e-80	258	99	JASCSA010000002.1 Cobetia amphilecti strain NRIC 0815 NODE_2_length_477028_cov_79.958329, whole genome shotgun sequence	395694	395071	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	3.58e-63	210	98	JASCSA010000005.1 Cobetia amphilecti strain NRIC 0815 NODE_5_length_348858_cov_79.723345, whole genome shotgun sequence	257249	257938	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	51.087	8.20e-78	254	99	JASCSA010000005.1 Cobetia amphilecti strain NRIC 0815 NODE_5_length_348858_cov_79.723345, whole genome shotgun sequence	257108	257935	transporter
