# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	63.583	0.0	642	98	JARWKV010000003.1 Cobetia litoralis strain NRIC 0814 NODE_3_length_404007_cov_66.848856, whole genome shotgun sequence	187110	189152	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	5.91e-05	37.7	87	JARWKV010000006.1 Cobetia litoralis strain NRIC 0814 NODE_6_length_349063_cov_68.275713, whole genome shotgun sequence	90945	90733	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	5.91e-05	37.7	87	JARWKV010000006.1 Cobetia litoralis strain NRIC 0814 NODE_6_length_349063_cov_68.275713, whole genome shotgun sequence	90945	90733	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.198	3.70e-16	75.5	79	JARWKV010000001.1 Cobetia litoralis strain NRIC 0814 NODE_1_length_1313308_cov_68.868562, whole genome shotgun sequence	610728	610138	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.692	1.02e-18	83.6	83	JARWKV010000003.1 Cobetia litoralis strain NRIC 0814 NODE_3_length_404007_cov_66.848856, whole genome shotgun sequence	16336	17037	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	1.94e-16	75.9	86	JARWKV010000007.1 Cobetia litoralis strain NRIC 0814 NODE_7_length_230444_cov_68.390787, whole genome shotgun sequence	188028	188702	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	3.0	26.6	87	JARWKV010000001.1 Cobetia litoralis strain NRIC 0814 NODE_1_length_1313308_cov_68.868562, whole genome shotgun sequence	1159468	1158863	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.93e-07	48.1	85	JARWKV010000001.1 Cobetia litoralis strain NRIC 0814 NODE_1_length_1313308_cov_68.868562, whole genome shotgun sequence	1159441	1158884	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	3.15e-80	258	99	JARWKV010000001.1 Cobetia litoralis strain NRIC 0814 NODE_1_length_1313308_cov_68.868562, whole genome shotgun sequence	1159486	1158863	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	2.64e-63	210	98	JARWKV010000006.1 Cobetia litoralis strain NRIC 0814 NODE_6_length_349063_cov_68.275713, whole genome shotgun sequence	91260	90571	transporter
