# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	26.471	3.9	23.1	79	JEMF01000039.1 Cobetia crustatorum strain JO1 contig_39, whole genome shotgun sequence	136963	136766	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	2.10e-04	35.8	80	JEMF01000039.1 Cobetia crustatorum strain JO1 contig_39, whole genome shotgun sequence	115347	115544	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	2.10e-04	35.8	80	JEMF01000039.1 Cobetia crustatorum strain JO1 contig_39, whole genome shotgun sequence	115347	115544	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.664	4.35e-16	74.7	88	JEMF01000020.1 Cobetia crustatorum strain JO1 contig_20, whole genome shotgun sequence	41294	40626	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	22.072	1.4	27.3	87	JEMF01000019.1 Cobetia crustatorum strain JO1 contig_19, whole genome shotgun sequence	32402	31797	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	25.000	6.71e-09	52.4	89	JEMF01000019.1 Cobetia crustatorum strain JO1 contig_19, whole genome shotgun sequence	32375	31779	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	62.679	2.38e-81	261	99	JEMF01000019.1 Cobetia crustatorum strain JO1 contig_19, whole genome shotgun sequence	32420	31797	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	48.261	3.41e-64	213	98	JEMF01000039.1 Cobetia crustatorum strain JO1 contig_39, whole genome shotgun sequence	115017	115706	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	52.652	4.07e-79	258	96	JEMF01000039.1 Cobetia crustatorum strain JO1 contig_39, whole genome shotgun sequence	114912	115703	transporter
gnl|TC-DB|P06550|1.A.1.29.1	1.A.1.29.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P06550|1.A.1.29.1	23.077	3.0	25.0	77	JEMF01000077.1 Cobetia crustatorum strain JO1 contig_77, whole genome shotgun sequence	10557	10880	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	23.392	6.26e-06	43.5	82	JEMF01000020.1 Cobetia crustatorum strain JO1 contig_20, whole genome shotgun sequence	41351	40848	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	39.161	0.0	671	98	JEMF01000108.1 Cobetia crustatorum strain JO1 contig_108, whole genome shotgun sequence	14860	11558	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	39.161	0.0	671	98	JEMF01000108.1 Cobetia crustatorum strain JO1 contig_108, whole genome shotgun sequence	14860	11558	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	35.871	3.18e-111	369	91	JEMF01000021.1 Cobetia crustatorum strain JO1 contig_21, whole genome shotgun sequence	7174	9210	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	35.871	3.18e-111	369	91	JEMF01000021.1 Cobetia crustatorum strain JO1 contig_21, whole genome shotgun sequence	7174	9210	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	34.000	1.5	23.5	76	JEMF01000016.1 Cobetia crustatorum strain JO1 contig_16, whole genome shotgun sequence	145368	145222	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	34.000	1.5	23.5	76	JEMF01000016.1 Cobetia crustatorum strain JO1 contig_16, whole genome shotgun sequence	145368	145222	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	31.579	1.19e-27	108	91	JEMF01000078.1 Cobetia crustatorum strain JO1 contig_78, whole genome shotgun sequence	39000	39668	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	51.152	7.75e-70	229	94	JEMF01000078.1 Cobetia crustatorum strain JO1 contig_78, whole genome shotgun sequence	39015	39662	transporter
gnl|TC-DB|Q9PHZ4|1.A.43.1.11	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9PHZ4|1.A.43.1.11	39.175	1.76e-11	57.0	79	JEMF01000009.1 Cobetia crustatorum strain JO1 contig_9, whole genome shotgun sequence	12284	12562	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	38.462	9.2	19.6	84	JEMF01000022.1 Cobetia crustatorum strain JO1 contig_22, whole genome shotgun sequence	32151	32074	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	38.462	9.2	19.6	84	JEMF01000022.1 Cobetia crustatorum strain JO1 contig_22, whole genome shotgun sequence	32151	32074	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	30.808	6.48e-14	67.0	93	JEMF01000107.1 Cobetia crustatorum strain JO1 contig_107, whole genome shotgun sequence	18058	18633	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	30.808	6.48e-14	67.0	93	JEMF01000107.1 Cobetia crustatorum strain JO1 contig_107, whole genome shotgun sequence	18058	18633	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	25.417	5.08e-04	38.1	89	JEMF01000134.1 Cobetia crustatorum strain JO1 contig_134, whole genome shotgun sequence	1991	1281	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	25.475	2.33e-06	45.4	92	JEMF01000134.1 Cobetia crustatorum strain JO1 contig_134, whole genome shotgun sequence	2000	1245	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	31.641	8.21e-13	65.5	86	JEMF01000134.1 Cobetia crustatorum strain JO1 contig_134, whole genome shotgun sequence	1940	1245	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	26.568	1.15e-05	43.5	86	JEMF01000134.1 Cobetia crustatorum strain JO1 contig_134, whole genome shotgun sequence	2033	1278	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	24.803	1.79e-05	43.1	82	JEMF01000134.1 Cobetia crustatorum strain JO1 contig_134, whole genome shotgun sequence	2012	1272	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	25.490	3.72e-10	57.0	99	JEMF01000134.1 Cobetia crustatorum strain JO1 contig_134, whole genome shotgun sequence	1970	1248	transporter
gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	51.185	4.51e-57	194	76	JEMF01000134.1 Cobetia crustatorum strain JO1 contig_134, whole genome shotgun sequence	1898	1266	transporter
gnl|TC-DB|ABT13584.1|1.A.8.2.10	1.A.8.2.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ABT13584.1|1.A.8.2.10	36.471	6.99e-26	103	95	JEMF01000134.1 Cobetia crustatorum strain JO1 contig_134, whole genome shotgun sequence	1036	347	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	32.414	1.98e-30	117	99	JEMF01000134.1 Cobetia crustatorum strain JO1 contig_134, whole genome shotgun sequence	1967	1248	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	32.500	2.94e-25	101	94	JEMF01000134.1 Cobetia crustatorum strain JO1 contig_134, whole genome shotgun sequence	1955	1272	transporter
