# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.21e-05	39.7	87	JQJA01000012.1 Cobetia amphilecti strain KMM 296 contig00012, whole genome shotgun sequence	33783	33571	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	28.409	1.21e-05	39.7	87	JQJA01000012.1 Cobetia amphilecti strain KMM 296 contig00012, whole genome shotgun sequence	33783	33571	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.995	6.51e-16	74.3	75	JQJA01000004.1 Cobetia amphilecti strain KMM 296 contig00004, whole genome shotgun sequence	123039	122455	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.692	1.66e-19	85.9	83	JQJA01000038.1 Cobetia amphilecti strain KMM 296 contig00038, whole genome shotgun sequence	13503	14204	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	25.217	1.57e-16	75.9	86	JQJA01000024.1 Cobetia amphilecti strain KMM 296 contig00024, whole genome shotgun sequence	19611	20285	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	21.267	2.5	26.6	87	JQJA01000005.1 Cobetia amphilecti strain KMM 296 contig00005, whole genome shotgun sequence	105151	104546	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.607	1.65e-07	48.1	85	JQJA01000005.1 Cobetia amphilecti strain KMM 296 contig00005, whole genome shotgun sequence	105124	104567	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	61.722	2.69e-80	258	99	JQJA01000005.1 Cobetia amphilecti strain KMM 296 contig00005, whole genome shotgun sequence	105169	104546	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	47.826	3.39e-63	210	98	JQJA01000012.1 Cobetia amphilecti strain KMM 296 contig00012, whole genome shotgun sequence	34098	33409	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	51.087	7.76e-78	254	99	JQJA01000012.1 Cobetia amphilecti strain KMM 296 contig00012, whole genome shotgun sequence	34239	33412	transporter
