# gapseq version: 1.2 34eb2fd3
# Transporter sequence DB md5sum: b99a77e (2022-11-30)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.47e-05	37.0	80	JARWKT010000006.1 Cobetia sp. 10Alg 146 NODE_6_length_268158_cov_77.630787, whole genome shotgun sequence	214282	214085	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	27.711	9.47e-05	37.0	80	JARWKT010000006.1 Cobetia sp. 10Alg 146 NODE_6_length_268158_cov_77.630787, whole genome shotgun sequence	214282	214085	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.653	3.17e-14	69.7	75	JARWKT010000001.1 Cobetia sp. 10Alg 146 NODE_1_length_709029_cov_79.815205, whole genome shotgun sequence	409544	408963	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	29.487	2.86e-14	70.1	82	JARWKT010000001.1 Cobetia sp. 10Alg 146 NODE_1_length_709029_cov_79.815205, whole genome shotgun sequence	212698	213351	transporter
gnl|TC-DB|Q8Y5K1|1.A.1.17.2	1.A.1.17.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8Y5K1|1.A.1.17.2	26.141	1.01e-16	76.6	86	JARWKT010000007.1 Cobetia sp. 10Alg 146 NODE_7_length_227469_cov_78.926258, whole genome shotgun sequence	41361	40642	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	24.000	3.2	26.2	88	JARWKT010000002.1 Cobetia sp. 10Alg 146 NODE_2_length_698251_cov_78.548773, whole genome shotgun sequence	550164	549550	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	23.041	0.81	28.1	85	JARWKT010000002.1 Cobetia sp. 10Alg 146 NODE_2_length_698251_cov_78.548773, whole genome shotgun sequence	550143	549550	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	23.560	3.75e-08	50.4	85	JARWKT010000002.1 Cobetia sp. 10Alg 146 NODE_2_length_698251_cov_78.548773, whole genome shotgun sequence	550137	549580	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	62.201	4.52e-81	260	99	JARWKT010000002.1 Cobetia sp. 10Alg 146 NODE_2_length_698251_cov_78.548773, whole genome shotgun sequence	550182	549559	transporter
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	49.565	7.44e-65	214	98	JARWKT010000006.1 Cobetia sp. 10Alg 146 NODE_6_length_268158_cov_77.630787, whole genome shotgun sequence	214612	213923	transporter
